id,temp,feels_like,humidity,clouds,wind_speed,main,description,icon,date
1,65,63,38,100,10.3,Rain,Light Rain,10d,2014-03-16
2,89,98,62,75,4.63,Clouds,Broken Clouds,04d,2014-03-30
3,72,72,64,0,5.87,Clear,Clear Sky,01n,2014-04-06
4,64,63,67,75,3.0,Clouds,Broken Clouds,04d,2014-04-20
5,74,74,53,40,7.2,Clouds,Scattered Clouds,03d,2014-05-11
6,62,61,62,75,2.1,Clouds,Broken Clouds,04d,2014-05-25
7,81,80,36,0,5.14,Clear,Clear Sky,01d,2014-06-08
8,77,76,35,20,2.0,Clouds,Few Clouds,02d,2014-06-22
9,65,63,54,99,3.77,Clouds,Overcast Clouds,04d,2014-07-06
10,79,79,57,0,4.12,Clear,Clear Sky,01d,2014-07-20
11,72,73,76,75,2.0,Thunderstorm,Thunderstorm,11d,2014-07-27
12,58,56,71,40,4.0,Clouds,Scattered Clouds,03d,2014-08-24
13,77,77,61,0,2.1,Clear,Clear Sky,01d,2014-09-07
14,86,92,62,75,3.6,Haze,Haze,50n,2014-09-21
15,70,71,96,100,2.1,Rain,Light Intensity Shower Rain,09d,2014-10-05
16,71,70,58,20,3.0,Clouds,Few Clouds,02d,2014-10-12
17,73,72,41,75,6.7,Clouds,Broken Clouds,04d,2014-11-02
18,76,76,53,75,5.7,Rain,Light Rain,10d,2014-11-09
19,81,82,51,0,3.1,Clear,Clear Sky,01d,2014-11-23
20,64,63,56,0,8.2,Clear,Clear Sky,01d,2015-03-15
21,87,91,55,75,1.5,Clouds,Broken Clouds,04d,2015-03-29
22,68,67,46,6,2.98,Clear,Clear Sky,01d,2015-04-12
23,76,76,63,0,7.24,Clear,Clear Sky,01d,2015-04-19
24,77,77,39,0,4.1,Clear,Clear Sky,01d,2015-05-10
25,64,63,68,40,3.6,Clouds,Scattered Clouds,03d,2015-05-24
26,69,67,30,100,5.7,Clouds,Overcast Clouds,04d,2015-06-07
27,58,56,46,40,2.0,Clouds,Scattered Clouds,03d,2015-06-21
28,67,66,57,71,3.99,Clouds,Broken Clouds,04d,2015-07-05
29,76,75,35,0,6.7,Clear,Clear Sky,01d,2015-07-26
30,76,75,41,0,8.0,Clear,Clear Sky,01d,2015-08-23
31,71,70,38,19,1.0,Clouds,Few Clouds,02d,2015-09-06
32,88,99,70,75,3.1,Clouds,Broken Clouds,04n,2015-09-20
33,81,82,51,2,4.1,Clear,Clear Sky,01d,2015-09-27
34,63,61,42,0,3.0,Clear,Clear Sky,01d,2015-10-11
35,65,65,83,100,7.2,Rain,Light Rain,10d,2015-10-25
36,71,70,38,40,1.5,Clouds,Scattered Clouds,03d,2015-11-01
37,79,78,48,75,2.1,Clouds,Broken Clouds,04d,2015-11-15
38,82,82,51,20,6.2,Clouds,Few Clouds,02d,2015-11-29
39,72,71,40,0,6.2,Clear,Clear Sky,01d,2016-03-20
40,70,70,61,7,3.71,Clear,Clear Sky,01n,2016-04-03
41,71,69,35,0,3.0,Clear,Clear Sky,01d,2016-04-17
42,63,62,59,40,3.6,Clouds,Scattered Clouds,03d,2016-05-01
43,74,74,53,40,5.7,Clouds,Scattered Clouds,03d,2016-05-15
44,64,64,88,75,4.63,Rain,Light Rain,10d,2016-05-29
45,54,52,55,100,7.2,Clouds,Overcast Clouds,04d,2016-06-12
46,81,80,38,0,5.7,Clear,Clear Sky,01d,2016-06-19
47,60,59,69,75,1.03,Clouds,Broken Clouds,04d,2016-07-03
48,68,68,79,32,6.78,Clouds,Scattered Clouds,03d,2016-07-10
49,83,83,45,0,3.6,Clear,Clear Sky,01d,2016-07-24
50,76,76,45,0,3.1,Clear,Clear Sky,01d,2016-07-31
51,77,77,66,20,5.0,Clouds,Few Clouds,02d,2016-08-28
52,88,90,45,0,2.06,Clear,Clear Sky,01d,2016-09-04
53,88,98,66,75,2.1,Rain,Light Rain,10n,2016-09-18
54,93,101,52,75,5.14,Clouds,Broken Clouds,04d,2016-10-02
55,72,72,58,95,6.7,Clouds,Overcast Clouds,04d,2016-10-09
56,80,80,40,75,5.7,Clouds,Broken Clouds,04d,2016-10-23
57,68,66,42,75,2.6,Clouds,Broken Clouds,04d,2016-10-30
58,66,66,88,100,4.12,Rain,Light Rain,10d,2016-11-13
59,81,82,51,0,5.14,Clear,Clear Sky,01d,2016-11-27
60,77,77,62,0,5.7,Clear,Clear Sky,01d,2017-03-26
61,55,55,93,100,6.0,Mist,Mist,50d,2017-04-09
62,76,77,75,0,10.62,Clear,Clear Sky,01d,2017-04-16
63,68,66,41,20,4.0,Clouds,Few Clouds,02d,2017-04-30
64,76,75,44,20,5.7,Clouds,Few Clouds,02d,2017-05-14
65,72,72,69,20,3.1,Clouds,Few Clouds,02d,2017-05-28
66,83,83,49,100,9.8,Clouds,Overcast Clouds,04d,2017-06-11
67,79,79,54,20,5.7,Clouds,Few Clouds,02d,2017-06-25
68,81,81,40,40,5.14,Clouds,Scattered Clouds,03d,2017-07-09
69,70,70,80,92,5.11,Clouds,Overcast Clouds,04d,2017-07-16
70,85,84,37,0,3.1,Clear,Clear Sky,01d,2017-07-30
71,72,72,64,40,2.06,Clouds,Scattered Clouds,03d,2017-08-27
72,73,71,34,0,1.03,Clear,Clear Sky,01d,2017-09-03
73,82,91,85,40,4.12,Thunderstorm,Thunderstorm With Rain,11n,2017-09-17
74,87,96,66,75,3.1,Clouds,Broken Clouds,04d,2017-10-01
75,79,79,60,43,1.5,Clouds,Scattered Clouds,03d,2017-10-08
76,74,74,57,20,5.7,Clouds,Few Clouds,02d,2017-10-22
77,70,68,35,75,2.1,Clouds,Broken Clouds,04d,2017-10-29
78,81,79,28,0,2.6,Clear,Clear Sky,01d,2017-11-12
79,77,77,50,40,5.7,Clouds,Scattered Clouds,03d,2017-11-26
80,77,76,34,75,10.29,Clouds,Broken Clouds,04d,2018-03-25
81,76,77,82,18,5.99,Clouds,Few Clouds,02n,2018-04-08
82,67,65,28,0,3.0,Clear,Clear Sky,01d,2018-04-15
83,55,53,63,0,13.9,Clear,Clear Sky,01d,2018-04-29
84,60,59,55,40,4.12,Clouds,Scattered Clouds,03d,2018-05-13
85,71,71,73,0,5.14,Clear,Clear Sky,01d,2018-05-27
86,67,65,35,75,2.6,Clouds,Broken Clouds,04d,2018-06-10
87,75,75,70,93,1.14,Rain,Light Rain,10d,2018-06-24
88,70,69,49,20,4.12,Clouds,Few Clouds,02d,2018-07-01
89,83,82,41,6,3.37,Clear,Clear Sky,01d,2018-07-08
90,77,77,47,40,3.1,Clouds,Scattered Clouds,03d,2018-07-22
91,89,90,43,0,2.6,Clear,Clear Sky,01d,2018-07-29
92,62,60,41,100,4.0,Clouds,Overcast Clouds,04d,2018-08-26
93,69,69,86,40,4.12,Clouds,Scattered Clouds,03d,2018-09-02
94,84,89,65,75,3.1,Clouds,Broken Clouds,04n,2018-09-16
95,72,72,61,100,2.0,Clouds,Overcast Clouds,04d,2018-09-30
96,81,82,53,24,5.1,Clouds,Few Clouds,02d,2018-10-07
97,70,68,38,38,3.1,Clouds,Scattered Clouds,03d,2018-10-21
98,66,65,52,75,1.54,Clouds,Broken Clouds,04d,2018-10-28
99,78,79,69,75,6.7,Rain,Light Rain,10d,2018-11-11
100,92,92,36,40,5.14,Clouds,Scattered Clouds,03d,2018-11-25
101,77,77,58,0,6.2,Clear,Clear Sky,01d,2019-03-17
102,76,77,65,90,11.57,Clouds,Overcast Clouds,04n,2019-03-31
103,71,69,37,0,7.0,Rain,Heavy Intensity Rain,10d,2019-04-14
104,60,58,46,0,8.8,Clear,Clear Sky,01d,2019-04-28
105,66,65,58,20,5.7,Clouds,Few Clouds,02d,2019-05-12
106,66,66,73,75,3.1,Rain,Light Rain,10d,2019-05-26
107,84,81,17,0,5.14,Clear,Clear Sky,01d,2019-06-09
108,79,79,51,45,2.97,Clouds,Scattered Clouds,03d,2019-06-23
109,90,86,21,20,4.6,Clouds,Few Clouds,02d,2019-06-30
110,67,67,69,100,2.48,Clouds,Overcast Clouds,04d,2019-07-14
111,71,71,72,75,3.6,Thunderstorm,Thunderstorm,11d,2019-07-28
112,77,76,44,0,3.6,Clear,Clear Sky,01d,2019-08-04
113,63,62,69,40,3.0,Clouds,Scattered Clouds,03d,2019-09-01
114,67,67,61,29,0.89,Clouds,Scattered Clouds,03d,2019-09-08
115,86,95,71,75,6.2,Haze,Haze,50n,2019-09-22
116,72,72,64,40,4.02,Clouds,Scattered Clouds,03d,2019-09-29
117,74,74,52,0,8.2,Clear,Clear Sky,01d,2019-10-13
118,73,72,46,75,3.1,Rain,Light Rain,10d,2019-10-27
119,72,70,24,20,4.6,Clouds,Few Clouds,02d,2019-11-03
120,68,68,64,40,7.2,Clouds,Scattered Clouds,03d,2019-11-17
121,81,81,47,0,4.6,Clear,Clear Sky,01d,2019-12-01
