driver_id,carno,initials,name,season,accidents,failures
1,44,HAM,Lewis Hamilton,2014,0.0,3.0
1,44,HAM,Lewis Hamilton,2015,0.0,1.0
1,44,HAM,Lewis Hamilton,2016,1.0,1.0
1,44,HAM,Lewis Hamilton,2017,0.0,0.0
1,44,HAM,Lewis Hamilton,2018,0.0,1.0
1,44,HAM,Lewis Hamilton,2019,0.0,0.0
2,3,RIC,Daniel Ricciardo,2014,0.0,2.0
2,3,RIC,Daniel Ricciardo,2015,0.0,2.0
2,3,RIC,Daniel Ricciardo,2016,0.0,0.0
2,3,RIC,Daniel Ricciardo,2017,1.0,5.0
2,3,RIC,Daniel Ricciardo,2018,1.0,7.0
2,3,RIC,Daniel Ricciardo,2019,1.0,3.0
3,6,ROS,Nico Rosberg,2014,0.0,2.0
3,6,ROS,Nico Rosberg,2015,0.0,1.0
3,6,ROS,Nico Rosberg,2016,1.0,0.0
3,6,ROS,Nico Rosberg,2017,Null,Null
3,6,ROS,Nico Rosberg,2018,Null,Null
3,6,ROS,Nico Rosberg,2019,Null,Null
4,20,MAG,Kevin Magnussen,2014,0.0,1.0
4,20,MAG,Kevin Magnussen,2015,0.0,0.0
4,20,MAG,Kevin Magnussen,2016,2.0,2.0
4,20,MAG,Kevin Magnussen,2017,1.0,4.0
4,20,MAG,Kevin Magnussen,2018,0.0,2.0
4,20,MAG,Kevin Magnussen,2019,1.0,0.0
5,14,ALO,Fernando Alonso,2014,0.0,2.0
5,14,ALO,Fernando Alonso,2015,1.0,6.0
5,14,ALO,Fernando Alonso,2016,1.0,2.0
5,14,ALO,Fernando Alonso,2017,2.0,6.0
5,14,ALO,Fernando Alonso,2018,2.0,4.0
5,14,ALO,Fernando Alonso,2019,Null,Null
6,25,VER,Jean-Eric Vergne,2014,0.0,5.0
6,25,VER,Jean-Eric Vergne,2015,Null,Null
6,25,VER,Jean-Eric Vergne,2016,Null,Null
6,25,VER,Jean-Eric Vergne,2017,Null,Null
6,25,VER,Jean-Eric Vergne,2018,Null,Null
6,25,VER,Jean-Eric Vergne,2019,Null,Null
7,27,HUL,Nico Hulkenberg,2014,1.0,1.0
7,27,HUL,Nico Hulkenberg,2015,3.0,3.0
7,27,HUL,Nico Hulkenberg,2016,2.0,2.0
7,27,HUL,Nico Hulkenberg,2017,1.0,5.0
7,27,HUL,Nico Hulkenberg,2018,4.0,3.0
7,27,HUL,Nico Hulkenberg,2019,1.0,0.0
8,26,KVY,Daniil Kvyat,2014,0.0,5.0
8,26,KVY,Daniil Kvyat,2015,1.0,1.0
8,26,KVY,Daniil Kvyat,2016,1.0,5.0
8,26,KVY,Daniil Kvyat,2017,1.0,3.0
8,26,KVY,Daniil Kvyat,2018,Null,Null
8,26,KVY,Daniil Kvyat,2019,1.0,1.0
9,19,MAS,Felipe Massa,2014,3.0,0.0
9,19,MAS,Felipe Massa,2015,0.0,2.0
9,19,MAS,Felipe Massa,2016,0.0,2.0
9,19,MAS,Felipe Massa,2017,1.0,1.0
9,19,MAS,Felipe Massa,2018,Null,Null
9,19,MAS,Felipe Massa,2019,Null,Null
10,22,BUT,Jenson Button,2014,0.0,0.0
10,22,BUT,Jenson Button,2015,1.0,4.0
10,22,BUT,Jenson Button,2016,1.0,5.0
10,22,BUT,Jenson Button,2017,1.0,0.0
10,22,BUT,Jenson Button,2018,Null,Null
10,22,BUT,Jenson Button,2019,Null,Null
11,7,RAI,Kimi Raikkonen,2014,1.0,0.0
11,7,RAI,Kimi Raikkonen,2015,2.0,3.0
11,7,RAI,Kimi Raikkonen,2016,1.0,2.0
11,7,RAI,Kimi Raikkonen,2017,2.0,0.0
11,7,RAI,Kimi Raikkonen,2018,0.0,4.0
11,7,RAI,Kimi Raikkonen,2019,1.0,1.0
12,5,VET,Sebastian Vettel,2014,0.0,3.0
12,5,VET,Sebastian Vettel,2015,1.0,0.0
12,5,VET,Sebastian Vettel,2016,2.0,1.0
12,5,VET,Sebastian Vettel,2017,1.0,1.0
12,5,VET,Sebastian Vettel,2018,1.0,0.0
12,5,VET,Sebastian Vettel,2019,0.0,2.0
13,99,SUT,Adrian Sutil,2014,4.0,3.0
13,99,SUT,Adrian Sutil,2015,Null,Null
13,99,SUT,Adrian Sutil,2016,Null,Null
13,99,SUT,Adrian Sutil,2017,Null,Null
13,99,SUT,Adrian Sutil,2018,Null,Null
13,99,SUT,Adrian Sutil,2019,Null,Null
14,10,KOB,Kamui Kobayashi,2014,1.0,5.0
14,10,KOB,Kamui Kobayashi,2015,Null,Null
14,10,KOB,Kamui Kobayashi,2016,Null,Null
14,10,KOB,Kamui Kobayashi,2017,Null,Null
14,10,KOB,Kamui Kobayashi,2018,Null,Null
14,10,KOB,Kamui Kobayashi,2019,Null,Null
15,77,BOT,Valtteri Bottas,2014,0.0,1.0
15,77,BOT,Valtteri Bottas,2015,0.0,1.0
15,77,BOT,Valtteri Bottas,2016,0.0,2.0
15,77,BOT,Valtteri Bottas,2017,0.0,1.0
15,77,BOT,Valtteri Bottas,2018,0.0,1.0
15,77,BOT,Valtteri Bottas,2019,1.0,0.0
16,11,PER,Sergio Perez,2014,3.0,0.0
16,11,PER,Sergio Perez,2015,0.0,1.0
16,11,PER,Sergio Perez,2016,0.0,0.0
16,11,PER,Sergio Perez,2017,0.0,1.0
16,11,PER,Sergio Perez,2018,0.0,2.0
16,11,PER,Sergio Perez,2019,1.0,1.0
17,4,CHI,Max Chilton,2014,2.0,1.0
17,4,CHI,Max Chilton,2015,Null,Null
17,4,CHI,Max Chilton,2016,Null,Null
17,4,CHI,Max Chilton,2017,Null,Null
17,4,CHI,Max Chilton,2018,Null,Null
17,4,CHI,Max Chilton,2019,Null,Null
18,17,BIA,Jules Bianchi,2014,1.0,1.0
18,17,BIA,Jules Bianchi,2015,Null,Null
18,17,BIA,Jules Bianchi,2016,Null,Null
18,17,BIA,Jules Bianchi,2017,Null,Null
18,17,BIA,Jules Bianchi,2018,Null,Null
18,17,BIA,Jules Bianchi,2019,Null,Null
19,9,ERI,Marcus Ericsson,2014,1.0,4.0
19,9,ERI,Marcus Ericsson,2015,2.0,1.0
19,9,ERI,Marcus Ericsson,2016,1.0,3.0
19,9,ERI,Marcus Ericsson,2017,3.0,2.0
19,9,ERI,Marcus Ericsson,2018,1.0,3.0
19,9,ERI,Marcus Ericsson,2019,Null,Null
20,21,GUT,Esteban Gutierrez,2014,3.0,3.0
20,21,GUT,Esteban Gutierrez,2015,Null,Null
20,21,GUT,Esteban Gutierrez,2016,1.0,3.0
20,21,GUT,Esteban Gutierrez,2017,Null,Null
20,21,GUT,Esteban Gutierrez,2018,Null,Null
20,21,GUT,Esteban Gutierrez,2019,Null,Null
21,13,MAL,Pastor Maldonado,2014,0.0,6.0
21,13,MAL,Pastor Maldonado,2015,5.0,4.0
21,13,MAL,Pastor Maldonado,2016,Null,Null
21,13,MAL,Pastor Maldonado,2017,Null,Null
21,13,MAL,Pastor Maldonado,2018,Null,Null
21,13,MAL,Pastor Maldonado,2019,Null,Null
22,8,GRO,Romain Grosjean,2014,1.0,5.0
22,8,GRO,Romain Grosjean,2015,3.0,3.0
22,8,GRO,Romain Grosjean,2016,0.0,3.0
22,8,GRO,Romain Grosjean,2017,1.0,2.0
22,8,GRO,Romain Grosjean,2018,4.0,1.0
22,8,GRO,Romain Grosjean,2019,2.0,4.0
23,45,LOT,Andre Lotterer,2014,0.0,1.0
23,45,LOT,Andre Lotterer,2015,Null,Null
23,45,LOT,Andre Lotterer,2016,Null,Null
23,45,LOT,Andre Lotterer,2017,Null,Null
23,45,LOT,Andre Lotterer,2018,Null,Null
23,45,LOT,Andre Lotterer,2019,Null,Null
24,28,STE,Will Stevens,2014,0.0,0.0
24,28,STE,Will Stevens,2015,1.0,1.0
24,28,STE,Will Stevens,2016,Null,Null
24,28,STE,Will Stevens,2017,Null,Null
24,28,STE,Will Stevens,2018,Null,Null
24,28,STE,Will Stevens,2019,Null,Null
25,55,SAI,Carlos Sainz Jnr,2014,Null,Null
25,55,SAI,Carlos Sainz Jnr,2015,0.0,7.0
25,55,SAI,Carlos Sainz Jnr,2016,0.0,4.0
25,55,SAI,Carlos Sainz Jnr,2017,4.0,4.0
25,55,SAI,Carlos Sainz Jnr,2018,1.0,1.0
25,55,SAI,Carlos Sainz Jnr,2019,0.0,2.0
26,12,NAS,Felipe Nasr,2014,Null,Null
26,12,NAS,Felipe Nasr,2015,0.0,1.0
26,12,NAS,Felipe Nasr,2016,2.0,2.0
26,12,NAS,Felipe Nasr,2017,Null,Null
26,12,NAS,Felipe Nasr,2018,Null,Null
26,12,NAS,Felipe Nasr,2019,Null,Null
27,33,VER,Max Verstappen,2014,Null,Null
27,33,VER,Max Verstappen,2015,2.0,2.0
27,33,VER,Max Verstappen,2016,1.0,2.0
27,33,VER,Max Verstappen,2017,3.0,4.0
27,33,VER,Max Verstappen,2018,1.0,2.0
27,33,VER,Max Verstappen,2019,1.0,1.0
28,98,MER,Roberto Merhi,2014,Null,Null
28,98,MER,Roberto Merhi,2015,0.0,1.0
28,98,MER,Roberto Merhi,2016,Null,Null
28,98,MER,Roberto Merhi,2017,Null,Null
28,98,MER,Roberto Merhi,2018,Null,Null
28,98,MER,Roberto Merhi,2019,Null,Null
29,53,RSS,Alexander Rossi,2014,Null,Null
29,53,RSS,Alexander Rossi,2015,0.0,0.0
29,53,RSS,Alexander Rossi,2016,Null,Null
29,53,RSS,Alexander Rossi,2017,Null,Null
29,53,RSS,Alexander Rossi,2018,Null,Null
29,53,RSS,Alexander Rossi,2019,Null,Null
30,30,PAL,Jolyon Palmer,2014,Null,Null
30,30,PAL,Jolyon Palmer,2015,Null,Null
30,30,PAL,Jolyon Palmer,2016,2.0,2.0
30,30,PAL,Jolyon Palmer,2017,1.0,4.0
30,30,PAL,Jolyon Palmer,2018,Null,Null
30,30,PAL,Jolyon Palmer,2019,Null,Null
31,94,WEH,Pascal Wehrlein,2014,Null,Null
31,94,WEH,Pascal Wehrlein,2015,Null,Null
31,94,WEH,Pascal Wehrlein,2016,3.0,2.0
31,94,WEH,Pascal Wehrlein,2017,2.0,1.0
31,94,WEH,Pascal Wehrlein,2018,Null,Null
31,94,WEH,Pascal Wehrlein,2019,Null,Null
32,88,HAR,Rio Haryanto,2014,Null,Null
32,88,HAR,Rio Haryanto,2015,Null,Null
32,88,HAR,Rio Haryanto,2016,2.0,1.0
32,88,HAR,Rio Haryanto,2017,Null,Null
32,88,HAR,Rio Haryanto,2018,Null,Null
32,88,HAR,Rio Haryanto,2019,Null,Null
33,2,VAN,Stoffel Vandoorne,2014,Null,Null
33,2,VAN,Stoffel Vandoorne,2015,Null,Null
33,2,VAN,Stoffel Vandoorne,2016,0.0,0.0
33,2,VAN,Stoffel Vandoorne,2017,3.0,2.0
33,2,VAN,Stoffel Vandoorne,2018,0.0,2.0
33,2,VAN,Stoffel Vandoorne,2019,Null,Null
34,31,OCO,Esteban Ocon,2014,Null,Null
34,31,OCO,Esteban Ocon,2015,Null,Null
34,31,OCO,Esteban Ocon,2016,0.0,0.0
34,31,OCO,Esteban Ocon,2017,1.0,0.0
34,31,OCO,Esteban Ocon,2018,3.0,2.0
34,31,OCO,Esteban Ocon,2019,Null,Null
35,99,GIO,Antonio Giovinazzi,2014,Null,Null
35,99,GIO,Antonio Giovinazzi,2015,Null,Null
35,99,GIO,Antonio Giovinazzi,2016,Null,Null
35,99,GIO,Antonio Giovinazzi,2017,1.0,0.0
35,99,GIO,Antonio Giovinazzi,2018,Null,Null
35,99,GIO,Antonio Giovinazzi,2019,1.0,0.0
36,18,STR,Lance Stroll,2014,Null,Null
36,18,STR,Lance Stroll,2015,Null,Null
36,18,STR,Lance Stroll,2016,Null,Null
36,18,STR,Lance Stroll,2017,2.0,2.0
36,18,STR,Lance Stroll,2018,1.0,1.0
36,18,STR,Lance Stroll,2019,1.0,0.0
37,40,DIR,Paul di Resta,2014,Null,Null
37,40,DIR,Paul di Resta,2015,Null,Null
37,40,DIR,Paul di Resta,2016,Null,Null
37,40,DIR,Paul di Resta,2017,0.0,1.0
37,40,DIR,Paul di Resta,2018,Null,Null
37,40,DIR,Paul di Resta,2019,Null,Null
38,10,GAS,Pierre Gasly,2014,Null,Null
38,10,GAS,Pierre Gasly,2015,Null,Null
38,10,GAS,Pierre Gasly,2016,Null,Null
38,10,GAS,Pierre Gasly,2017,0.0,0.0
38,10,GAS,Pierre Gasly,2018,2.0,3.0
38,10,GAS,Pierre Gasly,2019,0.0,1.0
39,28,HAR,Brendon Hartley,2014,Null,Null
39,28,HAR,Brendon Hartley,2015,Null,Null
39,28,HAR,Brendon Hartley,2016,Null,Null
39,28,HAR,Brendon Hartley,2017,0.0,2.0
39,28,HAR,Brendon Hartley,2018,2.0,3.0
39,28,HAR,Brendon Hartley,2019,Null,Null
40,16,LEC,Charles Leclerc,2014,Null,Null
40,16,LEC,Charles Leclerc,2015,Null,Null
40,16,LEC,Charles Leclerc,2016,Null,Null
40,16,LEC,Charles Leclerc,2017,Null,Null
40,16,LEC,Charles Leclerc,2018,3.0,2.0
40,16,LEC,Charles Leclerc,2019,1.0,1.0
41,35,SIR,Sergey Sirotkin,2014,Null,Null
41,35,SIR,Sergey Sirotkin,2015,Null,Null
41,35,SIR,Sergey Sirotkin,2016,Null,Null
41,35,SIR,Sergey Sirotkin,2017,Null,Null
41,35,SIR,Sergey Sirotkin,2018,1.0,2.0
41,35,SIR,Sergey Sirotkin,2019,Null,Null
42,4,NOR,Lando Norris,2014,Null,Null
42,4,NOR,Lando Norris,2015,Null,Null
42,4,NOR,Lando Norris,2016,Null,Null
42,4,NOR,Lando Norris,2017,Null,Null
42,4,NOR,Lando Norris,2018,Null,Null
42,4,NOR,Lando Norris,2019,1.0,3.0
43,23,ALB,Alexander Albon,2014,Null,Null
43,23,ALB,Alexander Albon,2015,Null,Null
43,23,ALB,Alexander Albon,2016,Null,Null
43,23,ALB,Alexander Albon,2017,Null,Null
43,23,ALB,Alexander Albon,2018,Null,Null
43,23,ALB,Alexander Albon,2019,0.0,1.0
44,63,RUS,George Russell,2014,Null,Null
44,63,RUS,George Russell,2015,Null,Null
44,63,RUS,George Russell,2016,Null,Null
44,63,RUS,George Russell,2017,Null,Null
44,63,RUS,George Russell,2018,Null,Null
44,63,RUS,George Russell,2019,2.0,0.0
45,88,KUB,Robert Kubica,2014,Null,Null
45,88,KUB,Robert Kubica,2015,Null,Null
45,88,KUB,Robert Kubica,2016,Null,Null
45,88,KUB,Robert Kubica,2017,Null,Null
45,88,KUB,Robert Kubica,2018,Null,Null
45,88,KUB,Robert Kubica,2019,0.0,2.0
